# RustScan 网络扫描报告
# 扫描时间: 2025-10-10 14:26:08
# 扫描端口: 21,22,23,80,443,445,873,1433,1521,1883,2181,2375,3306,3389,5236,5432,5672,5900,5901,5902,5903,5904,5905,6379,7001,8080,8081,8082,8088,11211,8161,8443,8848,8888,9200,15672,27017,54321,61616

10.15.7.112  [80]
10.15.7.113  [80, 8081]
10.15.7.123  [8443]
10.15.7.127  [445]
10.15.7.130  [80, 443]
10.15.7.132  [443]
10.15.7.133  [445]
10.15.7.135  [80]
10.15.7.139  [8080]
10.15.7.143  [443]
10.15.7.144  [80, 443, 8080]
10.15.7.145  [443]
10.15.7.147  [80, 443]
10.15.7.148  [8080]
10.15.7.150  [80]
10.15.7.151  [445]
10.15.7.156  [80]
10.15.7.157  [80]
10.15.7.165  [443]
10.15.7.167  [443]
10.15.7.175  [443]
10.15.7.176  [80, 443]
10.15.7.177  [443]
10.15.7.179  [445]
10.15.7.207  [80, 443, 8080, 8088]
10.15.7.208  [80, 443, 8080, 8088]
10.15.7.209  [80, 443, 8080, 8088]
10.15.7.211  [8080, 8081]
10.15.7.212  [5236, 8080]
10.15.7.213  [8080, 8081]
10.15.7.214  [8080, 54321]
10.15.7.215  [5236]
10.15.7.216  [8080, 8081]
10.15.7.217  [8080, 8081]
10.15.7.218  [445, 5236]
10.15.7.219  [8080, 8081]
10.15.7.220  [8080, 8081]
10.15.7.227  [443, 8082]
10.15.7.228  [8080, 8081, 8082, 8088]
10.15.7.229  [80]
10.15.7.232  [443]
10.15.7.233  [8080, 8081, 8082]
10.15.7.31  [80, 8081]
10.15.7.32  [80, 443, 8088, 8443]
10.15.7.35  [8080]
10.15.7.36  [80]
10.15.7.37  [443, 8082, 8088]
10.15.7.38  [80, 5236, 8080, 8081]
10.15.7.41  [443, 8080, 8088]
10.15.7.42  [443]
10.15.7.46  [443]
10.15.7.47  [80, 443]
10.15.7.49  [80]
10.15.7.50  [80]
10.15.7.56  [80, 445]
10.15.7.58  [443]
10.15.7.68  [80, 445]
10.15.7.72  [80]
10.15.7.81  [8080]
10.15.7.82  [445]
10.15.7.84  [445, 8081]
10.15.7.91  [80, 443]
10.15.7.96  [445]
10.15.7.98  [80, 443, 445]
10.15.2.10  [443]
10.15.10.1  [443]
10.15.10.10  [445]
10.15.10.35  [443, 8081]
10.15.8.230  [445]
10.15.8.231  [5236, 8080]
10.15.8.232  [445, 5236]
10.15.8.233  [8080, 54321]
10.15.8.234  [445, 5236]
10.15.8.236  [445, 5236]
10.15.8.237  [445, 5236]
10.15.8.238  [5236, 8080]
10.15.8.239  [445, 5236]
10.15.31.1  [443]
10.15.32.1  [443]
10.15.34.1  [443]
10.15.30.1  [443]
10.15.39.1  [443]
10.15.77.3  [443]
10.15.81.1  [443]
10.15.84.1  [443]
10.15.90.1  [443]
10.15.82.1  [443]
10.15.91.1  [443]
10.15.93.163  [80]
10.15.93.164  [80, 443]
10.15.100.1  [443]
10.15.99.1  [443]
10.15.94.1  [443]
10.15.96.1  [443]
10.15.102.1  [443]
10.15.101.1  [443]
10.15.101.11  [80, 443]
10.15.107.1  [443]
10.15.108.1  [443]
10.15.109.1  [443]
10.15.110.1  [443]
10.15.111.1  [443]
10.15.111.11  [443]
10.15.111.202  [80, 443]
10.15.111.203  [80, 443]
10.15.111.211  [80, 443]
10.15.111.31  [80, 443]
10.15.112.1  [443]
10.15.114.1  [443]
10.15.116.1  [443]
10.15.117.1  [443]
10.15.119.1  [443]
10.15.118.1  [443]
10.15.122.1  [443]
10.15.120.1  [443]
10.15.124.1  [443]
10.15.121.1  [443]
10.15.127.1  [443]
10.15.128.1  [443]
10.15.134.1  [443]
10.15.134.129  [443]
10.15.129.1  [443]
10.15.135.1  [443]
10.15.140.1  [443]
